dataset,L2,DTWb,DTWf,HV-MOTS
50Words,3.690000,2.420000,3.100000,2.599120
Adiac,3.890000,3.910000,3.960000,2.794870
ARSim,4.860000,4.430000,4.430000,0.000000
Beef,4.670000,4.670000,5.000000,2.413790
CBF,1.480000,0.040000,0.030000,0.000000
Chlorine,3.500000,3.500000,3.520000,3.292520
CinECG,1.030000,0.700000,3.490000,0.108770
Coffee,2.500000,1.790000,1.790000,0.000000
Cricket_X,4.260000,2.360000,2.230000,2.082260
Cricket_Y,3.560000,1.970000,2.080000,1.928020
Cricket_Z,3.800000,1.800000,2.080000,2.133680
DiatomSize,0.650000,0.650000,0.330000,0.131150
ECG200,1.200000,1.200000,2.300000,0.606060
ECGFiveDays,2.030000,2.030000,2.320000,0.151160
FaceAll,2.860000,1.920000,1.920000,2.024870
FaceFour,2.160000,1.140000,1.700000,0.344830
FacesUCR,2.310000,0.880000,0.950000,0.366030
Fish,2.170000,1.600000,1.670000,0.574710
Gun_Point,0.870000,0.870000,0.930000,0.067110
Haptics,6.300000,5.880000,6.230000,5.244300
InlineSkate,6.580000,6.130000,6.160000,5.373410
ItalyPower,0.450000,0.450000,0.500000,0.301560
Lighting2,2.460000,1.310000,1.310000,1.000000
Lighting7,4.250000,2.880000,2.740000,1.666670
MALLAT,0.860000,0.860000,0.660000,0.379690
MedicalImages,3.160000,2.530000,2.630000,2.555990
MoteStrain,1.210000,1.340000,1.650000,0.847320
NonInv_ECG1,1.710000,1.850000,2.090000,1.598780
NonInv_ECG2,1.200000,1.290000,1.350000,0.921590
OliveOil,1.330000,1.670000,1.330000,0.689660
OSULeaf,4.830000,3.840000,4.090000,1.991700
SonyAIBO1,3.050000,3.050000,2.750000,2.350000
SonyAIBO2,1.410000,1.410000,1.690000,0.840340
StarLight,1.510000,0.950000,0.930000,0.677600
SwedishLeaf,2.130000,1.570000,2.100000,0.721150
Symbols,1.000000,0.620000,0.500000,0.281690
Synthetic,1.200000,0.170000,0.070000,0.334450
Trace,2.400000,0.100000,0.000000,0.000000
Two_Patterns,0.900000,0.010000,0.000000,0.000000
TwoLeadECG,2.530000,1.320000,0.960000,0.413010
uWGestureX,2.610000,2.270000,2.730000,2.267520
uWGestureY,3.380000,3.010000,3.660000,3.102490
uWGestureZ,3.500000,3.220000,3.420000,3.049430
Wafer,0.050000,0.050000,0.200000,0.034070
WordsSynonyms,3.820000,2.520000,3.510000,2.872840
Yoga,1.700000,1.550000,1.640000,1.497170
