.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	334	902	504	464	492	752	238	322	291	259	240	195	540
L2	334	0	692	369	330	367	548	127	203	192	157	177	141	421
LI	902	692	0	982	888	994	1478	468	686	627	569	494	406	1065
LP	504	369	982	0	508	542	813	253	356	329	306	278	221	553
ERP	464	330	888	508	0	502	757	241	319	298	257	240	187	543
EDR	492	367	994	542	502	0	816	271	356	328	307	276	225	592
LCSS	752	548	1478	813	757	816	0	427	560	530	477	480	371	892
DTW	238	127	468	253	241	271	427	0	131	102	94	135	73	286
OSB	322	203	686	356	319	356	560	131	0	195	162	182	150	432
FFT(L2)	291	192	627	329	298	328	530	102	195	0	146	162	124	409
FFT(DTW)	259	157	569	306	257	307	477	94	162	146	0	136	95	384
ACF(L2)	240	177	494	278	240	276	480	135	182	162	136	0	48	263
ACF(DTW)	195	141	406	221	187	225	371	73	150	124	95	48	0	183
CDM	540	421	1065	553	543	592	892	286	432	409	384	263	183	0
