.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	0	33	21	0	0	0	893	0	0	0	0	2	0	1	1	0	0	0	0	0	0	8	4	0	2	1	3	2	0	0	0	0	1	0	0	1	0	1	0	2	0	0	1	0	0
L2	0	0	32	14	0	1	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
LI	0	1	32	39	0	1	0	1814	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LP	1	1	32	14	0	1	1	972	0	0	0	0	1	0	0	1	0	0	0	2	0	0	9	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ERP	2	1	32	11	1	0	0	893	1	0	0	0	2	0	1	3	1	0	2	2	2	0	9	1	0	4	1	0	3	0	0	0	0	0	2	2	1	0	2	1	1	1	1	1	1	1
EDR	2	1	32	0	0	0	1	974	0	0	0	0	0	0	0	3	0	1	0	1	1	10	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0
LCSS	1	1	2	0	1	1	1	1523	1	1	1	0	0	0	2	3	1	0	0	2	2	2	13	2	1	1	0	1	1	1	1	0	0	2	2	2	2	1	2	1	2	1	1	1	1	1
DTW	0	1	0	25	1	0	1	459	2	1	1	0	0	0	0	0	0	0	3	0	1	0	15	4	1	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0
OSB	0	0	0	14	0	0	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	0	0	6	0	0	0	631	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	0	0	0	0	0	1	568	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACF(L2)	0	1	0	28	0	0	0	472	0	0	0	1	0	0	0	0	0	1	2	0	1	6	8	2	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0
ACF(DTW)	0	1	0	50	0	0	1	358	0	0	0	0	0	1	0	0	0	0	2	1	0	10	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDM	0	0	0	0	1	0	0	1094	0	0	0	0	0	0	0	1	0	0	0	1	1	5	4	0	1	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
