.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	300	33	1172	12	1	180	5210	0	0	0	1532	148	0	1	59	0	0	290	495	13	1574	573	745	47	7	75	1	1	3656	0	436	121	1	121	238	1	0	1	0	2	3	1	3	1	3
L2	0	298	32	1147	3	0	175	5426	0	0	0	1582	109	0	0	19	0	0	260	537	1	1572	320	587	40	4	80	1	2	3716	0	439	261	0	120	265	0	0	0	0	1	1	0	1	0	1
LI	0	361	32	961	23	0	157	5107	0	0	0	1591	97	0	0	3	0	0	324	700	0	2278	291	612	45	0	76	0	3	3684	0	332	332	0	122	291	0	0	0	0	0	0	1	0	0	1
LP	0	300	32	1147	18	1	178	4836	0	0	0	1530	153	0	0	59	0	0	260	693	14	1574	584	705	42	4	90	1	2	3610	0	477	201	0	121	247	0	0	0	0	0	3	0	2	0	0
ERP	1	306	32	1216	52	0	185	5210	1	0	1	1768	177	0	1	192	1	0	250	580	25	1582	532	778	40	2	37	2	3	3654	2	443	256	0	154	273	1	0	2	2	1	2	1	3	1	3
EDR	0	291	32	0	25	0	158	4326	0	0	0	1454	351	0	0	163	0	6	493	747	38	1730	275	667	10	3	77	0	0	3850	9	419	198	1	9	285	0	0	1	3	0	0	0	0	0	0
LCSS	1	278	2	1422	46	1	187	4887	1	1	1	1637	327	0	2	193	1	3	169	473	21	1728	924	854	35	1	65	1	1	3750	11	324	140	2	232	291	2	1	2	3	2	1	1	1	1	1
DTW	0	316	0	1147	33	0	164	5785	1	0	1	1664	104	0	0	78	0	0	250	543	24	1592	672	946	48	0	55	0	0	3738	3	427	256	0	128	235	0	3	0	1	0	0	0	0	0	0
OSB	0	289	0	1147	4	0	174	5421	0	0	0	1586	25	0	0	18	0	0	290	534	1	1654	320	585	40	0	61	0	0	3712	0	404	265	0	120	241	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	283	0	1060	7	0	167	5462	0	0	0	2790	200	0	0	74	0	0	210	470	5	1626	380	784	46	0	101	0	0	3462	2	453	250	0	141	219	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	415	0	402	47	0	170	5655	0	0	0	1696	82	1	0	136	1	0	221	599	0	1718	590	972	40	0	59	0	0	2898	3	522	179	0	178	250	0	0	0	2	0	0	0	0	0	0
ACF(L2)	0	345	0	1266	26	0	183	4555	0	0	0	1516	236	0	0	89	0	2	296	593	19	1746	608	762	42	0	112	0	0	3358	6	559	181	0	107	234	0	2	0	1	0	0	0	0	0	0
ACF(DTW)	0	3	0	1443	24	0	165	4623	0	0	0	1530	272	0	0	98	0	4	164	597	20	1788	556	752	57	0	87	0	0	3318	3	518	263	0	149	269	0	1	0	0	0	0	0	0	0	0
CDM	0	0	0	1376	35	0	157	3669	0	0	0	1433	228	0	0	109	0	0	49	602	28	1514	527	675	41	0	67	0	0	5904	6	439	205	0	97	468	0	0	0	1	0	0	0	0	0	0
