.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
1	2	0	9	2	0	2	0	4	0	2	0	0	2	2	4	2	0	2	2	2	0	2	2	2	0	0	0	0	0	2	0	0	2	4	0	0	4	3	4	0	4	0	0	0	2	2
2	2	2	18	3	0	2	2	10	0	0	0	2	3	0	3	2	0	3	3	2	0	2	3	3	0	4	0	2	2	3	2	2	2	3	2	2	3	3	4	0	4	2	3	3	3	3
3	0	2	22	10	2	0	2	65	2	0	2	2	3	0	0	2	2	2	3	2	2	2	3	2	2	2	2	0	3	2	2	3	2	0	2	2	0	0	0	0	0	2	0	2	0	2
4	0	2	17	20	3	0	2	169	0	0	0	2	2	0	0	5	0	2	3	2	2	4	3	3	2	2	2	0	4	2	2	2	2	0	3	3	0	3	0	2	0	0	0	0	0	0
5	0	2	8	16	2	0	2	301	0	0	0	2	2	0	0	2	0	0	2	3	2	7	10	4	3	2	2	0	0	2	2	2	2	0	3	3	0	0	0	2	0	0	0	0	0	0
6	0	2	3	11	2	0	3	411	0	0	0	2	2	0	0	2	0	0	2	3	3	5	5	2	2	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
7	0	2	0	2	2	0	2	425	0	0	0	2	2	0	0	2	0	0	2	2	2	2	3	2	2	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
8	0	2	0	2	2	0	2	312	0	0	0	2	2	0	0	2	0	0	2	2	2	2	2	2	2	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
9	0	2	0	2	2	0	2	146	0	0	0	2	2	0	0	2	0	0	0	2	2	2	2	2	2	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
10	0	2	0	2	0	0	2	42	0	0	0	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	2	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0
11	0	0	0	2	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0
12	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
