.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	9569	9875	9340	8863	8325	9512	9383	9634	9177	8726	9671	7163	9448
L2	9569	0	9797	9418	8871	8347	9446	9277	9503	9224	8561	9543	7155	9435
LI	9875	9797	0	9766	9182	8655	10150	9600	9790	9264	9033	9992	8090	9894
LP	9340	9418	9766	0	8765	8116	9329	9172	9488	9057	8539	9367	6911	9324
ERP	8863	8871	9182	8765	0	7752	8959	8766	8868	8614	8243	9449	6768	9036
EDR	8325	8347	8655	8116	7752	0	8108	8120	8384	7998	7731	8076	5538	8198
LCSS	9512	9446	10150	9329	8959	8108	0	9338	9494	9183	9197	9409	7225	9614
DTW	9383	9277	9600	9172	8766	8120	9338	0	9370	8850	8452	9011	6964	9485
OSB	9634	9503	9790	9488	8868	8384	9494	9370	0	9301	8573	9604	7236	9472
FFT(L2)	9177	9224	9264	9057	8614	7998	9183	8850	9301	0	8273	9198	6694	9010
FFT(DTW)	8726	8561	9033	8539	8243	7731	9197	8452	8573	8273	0	9103	7001	8921
ACF(L2)	9671	9543	9992	9367	9449	8076	9409	9011	9604	9198	9103	0	6280	9827
ACF(DTW)	7163	7155	8090	6911	6768	5538	7225	6964	7236	6694	7001	6280	0	7117
CDM	9448	9435	9894	9324	9036	8198	9614	9485	9472	9010	8921	9827	7117	0
