.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	153	567	309	306	288	477	127	136	128	137	113	121	297
L2	153	0	304	169	156	156	247	69	58	42	43	38	34	172
LI	567	304	0	600	571	531	936	282	296	275	300	222	224	614
LP	309	169	600	0	317	303	512	139	157	150	166	124	124	316
ERP	306	156	571	317	0	298	487	137	136	131	143	119	121	305
EDR	288	156	531	303	298	0	436	135	137	131	146	79	85	291
LCSS	477	247	936	512	487	436	0	268	259	251	283	236	228	536
DTW	127	69	282	139	137	135	268	0	67	51	38	49	49	189
OSB	136	58	296	157	136	137	259	67	0	43	50	42	35	175
FFT(L2)	128	42	275	150	131	131	251	51	43	0	47	50	42	149
FFT(DTW)	137	43	300	166	143	146	283	38	50	47	0	61	56	167
ACF(L2)	113	38	222	124	119	79	236	49	42	50	61	0	49	120
ACF(DTW)	121	34	224	124	121	85	228	49	35	42	56	49	0	123
CDM	297	172	614	316	305	291	536	189	175	149	167	120	123	0
