.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	2	0	33	3	0	0	0	543	0	0	0	0	4	0	0	3	0	0	8	0	0	4	0	1	0	0	2	1	0	16	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2
L2	0	0	32	6	0	1	0	258	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
LI	0	1	32	5	0	1	0	1060	0	0	0	0	0	0	0	0	0	0	0	2	0	16	1	0	1	2	0	1	1	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LP	1	1	32	6	0	0	0	590	0	0	0	0	5	0	0	3	0	0	1	1	0	4	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0
ERP	2	0	32	2	2	0	0	543	1	1	1	0	4	0	1	7	3	0	12	0	1	2	3	1	0	2	2	1	1	16	0	0	0	0	2	1	1	0	2	1	1	1	2	1	1	2
EDR	2	1	32	0	1	0	0	489	0	0	0	0	5	0	0	4	1	1	0	1	0	0	0	0	1	1	2	0	0	26	1	0	0	1	0	0	0	0	1	0	1	1	2	0	0	0
LCSS	2	1	2	10	0	1	1	913	1	1	0	0	0	0	1	7	3	1	16	0	1	16	4	0	1	1	2	2	1	33	1	0	0	1	2	0	2	1	1	1	1	1	1	2	1	2
DTW	0	1	0	12	1	0	1	217	1	1	1	0	2	0	0	0	0	0	13	2	0	0	4	2	1	0	0	0	0	64	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0
OSB	0	0	0	6	0	0	0	271	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	1	0	8	0	0	0	265	0	0	0	1	2	0	0	0	0	0	0	2	0	4	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	0	0	0	1	0	0	298	1	0	0	0	1	1	0	0	2	0	0	1	0	8	0	2	0	0	2	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ACF(L2)	0	0	0	19	0	0	0	200	0	0	0	1	0	1	0	1	0	0	14	1	0	14	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
ACF(DTW)	0	1	0	17	0	0	1	200	0	0	0	0	0	0	0	0	0	0	16	2	0	16	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CDM	0	0	0	0	1	0	0	559	0	1	0	0	1	0	0	5	0	1	4	2	0	8	0	0	1	0	1	0	0	66	1	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0
