.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	2	95	33	1709	27	1	60	5209	14	0	5	1272	9	1	1	12	0	0	8	287	3	648	2	817	117	3	25	1	3	3192	0	137	0	2	222	43	1	0	1	1	2	1	1	2	1	2
L2	0	96	32	1825	21	0	27	5104	4	0	2	1309	11	1	0	1	0	1	1	265	0	774	0	569	93	0	51	0	1	3098	0	172	1	0	226	28	0	0	1	1	1	1	1	1	0	0
LI	0	139	32	1935	15	0	11	6504	12	0	2	1194	0	3	0	2	0	7	0	487	0	842	2	590	112	0	52	1	2	3234	0	223	2	0	245	18	0	0	0	1	0	0	0	0	0	0
LP	1	137	32	1825	32	1	62	5027	17	0	5	1171	23	1	0	12	0	1	1	439	3	648	12	653	100	0	46	0	1	3324	0	105	0	0	222	18	0	0	0	1	1	1	0	1	0	0
ERP	2	126	32	1690	90	0	61	5209	33	1	24	836	34	4	1	55	2	11	12	360	13	640	23	807	109	2	2	1	2	3190	0	206	1	0	353	87	1	0	1	8	1	2	1	1	1	2
EDR	2	135	32	662	60	0	65	3875	25	0	24	986	63	0	1	48	0	20	0	450	13	998	0	403	123	1	34	0	0	2914	4	174	1	1	249	124	0	0	1	5	2	0	1	0	0	0
LCSS	2	131	2	1871	77	1	108	4009	29	1	30	993	80	0	1	58	2	13	16	204	9	654	16	966	112	1	25	2	1	3314	5	244	1	1	474	97	2	1	1	5	1	1	1	2	1	2
DTW	0	127	0	1840	54	0	61	5240	45	1	33	1209	10	0	0	3	0	2	13	351	11	736	24	1067	115	0	27	0	0	2944	0	179	0	0	317	79	0	4	0	5	0	0	0	0	0	0
OSB	0	95	0	1826	20	0	27	5010	3	0	2	1307	8	2	0	1	0	1	0	263	0	782	0	566	97	0	44	0	0	3100	0	170	0	0	220	22	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	114	0	1886	4	0	45	5363	12	0	20	1579	20	0	0	14	0	0	0	239	0	594	11	884	102	0	41	0	0	2560	0	153	0	0	279	51	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	11	0	1629	81	0	59	5634	32	0	30	998	20	7	0	11	1	0	0	267	0	632	0	933	78	0	24	0	0	2240	1	111	0	0	417	49	0	0	0	4	0	0	0	0	0	0
ACF(L2)	0	131	0	2149	25	0	93	4024	7	0	11	792	39	2	0	20	1	7	14	342	7	352	10	845	87	0	51	0	0	2632	2	38	1	0	306	73	0	1	0	3	0	0	0	0	0	0
ACF(DTW)	0	237	0	2189	19	0	80	4077	2	0	9	987	32	6	0	10	1	8	16	374	1	282	10	764	113	0	43	0	0	2798	2	61	0	0	281	80	0	2	0	5	0	0	0	0	0	0
CDM	0	0	0	1418	72	0	59	4812	18	1	21	935	51	3	0	28	2	13	4	404	9	642	6	742	118	0	39	0	0	5038	3	188	2	0	272	110	0	4	0	5	0	0	0	0	0	0
