.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
1	3	0	9	2	0	2	0	4	0	0	2	0	2	0	0	2	0	2	0	0	0	2	2	0	2	0	0	3	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	3	2	4
2	3	0	18	8	0	3	0	12	2	0	2	2	2	3	2	2	0	2	3	0	0	2	2	2	0	3	2	4	3	3	2	2	2	3	0	2	3	3	3	0	2	2	2	3	3	4
3	4	2	22	7	2	0	2	50	2	0	2	2	2	0	0	2	0	3	3	2	2	3	3	2	2	2	2	0	0	3	2	2	2	0	2	3	0	4	2	0	0	0	3	0	0	0
4	0	2	17	9	3	0	2	128	3	3	2	2	3	2	0	6	3	2	9	2	2	3	3	4	2	0	2	0	2	11	2	2	2	0	3	2	0	3	0	2	2	0	0	3	0	0
5	0	2	8	5	2	0	2	224	2	0	2	2	2	2	0	4	2	2	6	2	2	5	4	2	3	0	2	0	0	22	2	2	0	0	3	2	0	0	0	2	0	0	0	0	0	0
6	0	2	3	6	2	0	2	293	2	0	2	2	4	0	0	2	0	2	5	2	2	6	2	2	2	0	3	0	0	23	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0
7	0	3	0	2	2	0	2	254	2	0	2	2	4	2	0	2	0	0	4	3	0	2	2	2	2	0	2	0	0	13	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0
8	0	2	0	2	2	0	2	119	2	0	2	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	0	4	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0
9	0	2	0	2	2	0	2	22	2	0	2	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	0	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0
10	0	2	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	0	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0
11	0	0	0	2	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
