.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	85	128	78	90	77	71	65	66	56	35	64	46	14
L2	85	0	152	94	91	91	71	81	81	77	53	80	54	26
LI	128	152	0	106	116	113	92	106	107	85	46	74	56	36
LP	78	94	106	0	57	69	53	56	60	50	27	60	28	14
ERP	90	91	116	57	0	77	49	62	67	57	34	61	44	13
EDR	77	91	113	69	77	0	56	56	61	55	16	59	28	37
LCSS	71	71	92	53	49	56	0	66	63	46	16	52	28	31
DTW	65	81	106	56	62	56	66	0	67	57	26	61	35	24
OSB	66	81	107	60	67	61	63	67	0	53	31	55	36	24
FFT(L2)	56	77	85	50	57	55	46	57	53	0	29	68	37	18
FFT(DTW)	35	53	46	27	34	16	16	26	31	29	0	46	10	0
ACF(L2)	64	80	74	60	61	59	52	61	55	68	46	0	37	23
ACF(DTW)	46	54	56	28	44	28	28	35	36	37	10	37	0	2
CDM	14	26	36	14	13	37	31	24	24	18	0	23	2	0
