.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	27748	28091	27571	27964	28631	27545	27611	27909	27811	28729	28292	28134	29716
L2	27748	0	28314	27939	28241	28948	27817	27879	28041	28044	29034	28466	28327	29949
LI	28091	28314	0	28024	28258	29065	27973	27986	28191	28018	29105	28599	28435	30085
LP	27571	27939	28024	0	28056	28692	27573	27686	27891	27816	28751	28232	28169	29717
ERP	27964	28241	28258	28056	0	29044	27961	28183	28347	28264	29200	28771	28571	30138
EDR	28631	28948	29065	28692	29044	0	28361	28794	28995	28809	29588	29473	29168	30495
LCSS	27545	27817	27973	27573	27961	28361	0	27642	27901	27803	28854	28227	28130	29401
DTW	27611	27879	27986	27686	28183	28794	27642	0	28012	27971	28888	28255	28126	29882
OSB	27909	28041	28191	27891	28347	28995	27901	28012	0	28097	29166	28503	28353	29950
FFT(L2)	27811	28044	28018	27816	28264	28809	27803	27971	28097	0	28999	28530	28284	29973
FFT(DTW)	28729	29034	29105	28751	29200	29588	28854	28888	29166	28999	0	29598	29314	30228
ACF(L2)	28292	28466	28599	28232	28771	29473	28227	28255	28503	28530	29598	0	28740	30322
ACF(DTW)	28134	28327	28435	28169	28571	29168	28130	28126	28353	28284	29314	28740	0	30234
CDM	29716	29949	30085	29717	30138	30495	29401	29882	29950	29973	30228	30322	30234	0
