.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	0	33	5	0	0	1	146	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1
L2	0	0	32	5	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LI	0	0	32	9	0	0	0	211	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LP	0	1	32	9	0	1	0	114	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERP	1	0	32	0	1	0	0	146	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1
EDR	0	0	32	0	0	0	0	129	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
LCSS	2	0	2	9	0	1	0	111	0	1	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	2	0	1	2	0	1	0	0	2	0	0	2	0	2	1	2	1	1	2	2	2
DTW	0	0	0	6	0	0	0	132	1	0	1	0	0	0	0	0	0	0	1	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OSB	0	0	0	5	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	1	0	2	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	0	0	0	0	0	0	80	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACF(L2)	0	0	0	9	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACF(DTW)	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDM	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
