.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	42	33	1500	1128	10	43	3581	135	47	242	319	7480	2753	1	2637	54	196	63	242	363	31	8077	5840	14	1	43	1	1	678	4747	7885	3252	1	26	18	1	265	1	104	1	1	2	1	1	1
L2	0	38	32	1598	1129	9	42	3668	124	41	246	333	7499	2623	0	2573	63	199	58	270	375	32	8095	6121	11	0	56	0	0	662	4731	7892	3433	0	28	18	0	286	0	107	0	0	1	0	0	0
LI	0	54	32	1624	1258	11	34	3500	110	45	231	335	7530	2640	0	2474	63	212	55	237	360	38	8113	6006	14	0	55	0	0	675	4866	7914	3678	0	29	14	0	277	0	100	0	0	1	0	0	0
LP	0	56	32	1591	1161	10	42	3448	140	49	238	348	7455	2638	0	2630	48	194	62	238	394	31	8088	5943	12	0	59	0	0	649	4651	7882	3405	0	28	21	0	276	0	109	0	1	1	0	0	0
ERP	1	44	32	1536	1171	9	45	3578	138	53	239	339	7487	2617	1	2960	52	227	59	258	386	26	8079	5901	16	1	57	1	1	658	4817	7910	3544	0	28	20	1	286	1	90	1	0	1	1	1	1
EDR	0	62	32	2074	1362	15	31	3298	132	45	268	244	7554	2708	0	2709	55	193	87	251	402	15	8105	6168	12	0	62	0	0	699	4701	8063	3938	1	19	17	0	282	0	108	0	0	1	0	0	0
LCSS	2	55	2	1246	1067	1	41	3586	144	49	243	338	7494	2680	2	2754	51	163	79	262	393	25	8095	5725	14	2	51	1	2	390	4592	7862	3831	2	37	12	2	281	2	105	2	1	1	2	2	2
DTW	0	42	0	1488	1105	0	46	3417	143	52	246	340	7542	2559	0	2469	51	191	61	241	417	35	8076	5859	17	0	53	0	0	847	4766	7903	3605	0	36	21	0	282	0	95	0	0	0	0	0	0
OSB	0	35	0	1528	1109	0	40	3497	127	39	239	338	7557	2958	0	2452	48	190	63	259	402	27	8101	6017	11	0	52	0	0	611	4773	7904	3610	0	32	13	0	283	0	91	0	0	0	0	0	0
FFT(L2)	0	47	0	1518	1287	0	54	3442	138	52	270	368	7551	2714	0	2462	50	179	64	266	389	25	8105	5909	18	0	58	0	0	676	4571	7914	3687	0	28	17	0	279	0	96	0	0	0	0	0	0
FFT(DTW)	0	61	0	1762	1538	0	38	3381	122	44	256	318	7590	3080	0	2417	50	167	68	250	391	26	8099	6188	12	0	53	0	0	670	5160	7946	3807	0	33	25	0	278	0	101	0	0	0	0	0	0
ACF(L2)	0	35	0	1806	1350	0	36	3499	134	43	220	383	7417	2916	0	2672	58	201	69	251	396	30	8116	5932	14	0	45	0	0	564	4896	7922	3669	0	32	13	0	320	0	106	0	0	0	0	0	0
ACF(DTW)	0	48	0	1846	1294	0	38	3180	122	47	226	356	7560	3043	0	2547	70	192	75	268	364	21	8098	5871	14	0	45	0	0	421	4851	7945	3779	0	34	12	0	302	0	97	0	0	0	0	0	0
CDM	0	49	0	920	1837	0	30	3641	93	26	219	89	7737	3734	0	2519	70	134	13	290	476	7	8143	6186	21	0	61	0	0	1028	5911	8082	3931	0	2	29	0	219	0	165	0	0	0	0	0	0
