.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	4182	4248	4145	4188	4145	4141	4185	4166	4103	4114	4135	4144	4187
L2	4182	0	4198	4153	4175	4129	4106	4169	4150	4096	4111	4129	4143	4168
LI	4248	4198	0	4212	4233	4197	4169	4195	4184	4104	4129	4124	4133	4267
LP	4145	4153	4212	0	4158	4138	4125	4143	4139	4103	4104	4112	4108	4154
ERP	4188	4175	4233	4158	0	4153	4138	4171	4159	4102	4116	4125	4125	4188
EDR	4145	4129	4197	4138	4153	0	4136	4118	4114	4110	4109	4109	4111	4166
LCSS	4141	4106	4169	4125	4138	4136	0	4086	4109	4094	4096	4073	4089	4164
DTW	4185	4169	4195	4143	4171	4118	4086	0	4170	4085	4102	4103	4151	4191
OSB	4166	4150	4184	4139	4159	4114	4109	4170	0	4096	4111	4130	4143	4171
FFT(L2)	4103	4096	4104	4103	4102	4110	4094	4085	4096	0	4096	4094	4106	4115
FFT(DTW)	4114	4111	4129	4104	4116	4109	4096	4102	4111	4096	0	4090	4107	4122
ACF(L2)	4135	4129	4124	4112	4125	4109	4073	4103	4130	4094	4090	0	4125	4134
ACF(DTW)	4144	4143	4133	4108	4125	4111	4089	4151	4143	4106	4107	4125	0	4137
CDM	4187	4168	4267	4154	4188	4166	4164	4191	4171	4115	4122	4134	4137	0
