.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	10932	11862	10174	10651	11884	11587	10927	10890	11771	12431	11231	10731	10529
L2	10932	0	12128	10716	11278	12470	12004	11246	11239	12197	12864	11686	11130	10987
LI	11862	12128	0	11735	12217	13193	12552	11950	12092	12834	13386	12371	11747	11504
LP	10174	10716	11735	0	10474	11628	11316	10733	10665	11554	12155	10962	10436	10259
ERP	10651	11278	12217	10474	0	12083	11506	11106	11241	12110	12645	11308	10600	10449
EDR	11884	12470	13193	11628	12083	0	13298	12495	12418	13186	13883	12378	11732	12102
LCSS	11587	12004	12552	11316	11506	13298	0	11962	11977	12961	13796	12000	11536	11237
DTW	10927	11246	11950	10733	11106	12495	11962	0	11224	12087	12679	11673	11062	10943
OSB	10890	11239	12092	10665	11241	12418	11977	11224	0	12177	12845	11675	11096	10963
FFT(L2)	11771	12197	12834	11554	12110	13186	12961	12087	12177	0	13334	12127	11837	11601
FFT(DTW)	12431	12864	13386	12155	12645	13883	13796	12679	12845	13334	0	12986	12585	12243
ACF(L2)	11231	11686	12371	10962	11308	12378	12000	11673	11675	12127	12986	0	10148	11161
ACF(DTW)	10731	11130	11747	10436	10600	11732	11536	11062	11096	11837	12585	10148	0	10737
CDM	10529	10987	11504	10259	10449	12102	11237	10943	10963	11601	12243	11161	10737	0
