.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	0	33	1783	208	1	45	3146	6	0	0	1299	0	75	1	2944	1	312	0	48	103	84	1155	1030	162	1	72	1	1	8188	4	147	95	1	0	242	1	506	1	17	1	1	1	1	1	1
L2	0	0	32	1852	191	0	47	4225	2	0	0	1259	0	76	0	2827	0	334	0	29	99	84	1393	822	180	0	70	0	0	8172	2	162	92	0	0	262	0	406	1	16	0	0	0	1	0	0
LI	0	0	32	1952	163	0	36	5376	2	0	0	1326	0	88	0	3010	0	330	1	42	116	98	1285	939	161	0	67	0	1	8160	2	123	109	0	0	227	0	105	0	30	0	1	1	0	0	1
LP	0	0	32	1852	198	0	54	2940	7	0	0	1332	0	76	0	2944	0	347	0	23	128	84	1096	892	175	0	72	0	0	8190	7	170	95	0	0	247	0	308	0	9	0	0	0	0	0	1
ERP	0	0	32	1760	204	0	44	3146	0	0	0	871	0	66	0	3650	2	172	0	86	189	78	1138	1104	186	0	72	1	0	8188	0	174	94	0	0	214	1	521	1	28	1	0	1	1	0	2
EDR	1	0	32	3738	204	1	44	3193	2	0	0	1181	0	69	1	3335	3	1	2	105	245	90	1256	1176	236	1	72	1	1	8190	0	151	103	1	0	229	0	926	1	37	1	1	1	0	1	1
LCSS	1	0	2	2238	233	1	50	3726	1	0	0	1135	0	76	1	3688	3	221	0	51	182	100	1217	1097	200	2	67	1	1	8143	0	154	108	2	0	196	2	695	1	29	1	2	1	1	1	1
DTW	0	0	0	1844	176	0	51	4408	0	0	0	1311	0	86	0	3073	0	280	0	54	109	86	1245	410	243	0	64	0	0	8122	4	142	94	0	0	203	0	476	0	13	0	0	0	0	0	0
OSB	0	0	0	1852	181	0	46	4203	4	0	0	1266	0	71	0	2823	0	334	0	29	100	82	1392	825	179	0	78	0	0	8172	3	130	92	0	0	250	0	401	0	25	0	0	0	0	0	0
FFT(L2)	0	0	0	1786	177	0	58	4715	0	0	0	1223	0	82	0	3441	1	311	0	13	134	82	1292	1325	173	0	61	0	0	8174	0	166	121	0	0	244	0	467	0	8	0	0	0	0	0	0
FFT(DTW)	0	0	0	1800	162	0	57	5205	0	0	0	1393	0	99	0	3263	1	361	0	71	134	106	1128	1579	176	0	67	0	0	8172	0	201	149	0	0	213	0	726	0	31	0	0	0	0	0	0
ACF(L2)	0	0	0	1494	203	0	42	4382	6	0	1	1629	0	83	0	2753	0	302	0	116	135	100	1204	986	134	0	75	0	0	8132	1	186	150	0	0	169	0	553	0	4	0	0	0	0	0	0
ACF(DTW)	0	0	0	1311	210	0	33	4426	4	0	0	1489	0	68	0	1933	0	280	0	145	173	86	1127	1194	113	0	71	0	0	8168	0	161	136	0	0	182	0	528	0	8	0	0	0	0	0	0
CDM	0	1	0	1939	194	0	47	2647	7	1	1	1169	1	75	0	2794	2	226	1	86	164	84	1212	955	207	0	54	0	0	8190	2	154	110	0	1	339	0	874	0	20	0	0	0	0	0	0
