.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	64	121	46	60	51	62	17	30	34	32	38	12	32
L2	64	0	97	42	48	37	33	16	23	22	24	33	8	21
LI	121	97	0	116	118	114	106	61	79	69	66	54	41	84
LP	46	42	116	0	45	63	46	26	35	29	28	27	17	23
ERP	60	48	118	45	0	62	52	26	38	34	31	32	17	30
EDR	51	37	114	63	62	0	59	25	39	38	30	34	16	36
LCSS	62	33	106	46	52	59	0	31	42	43	31	42	13	44
DTW	17	16	61	26	26	25	31	0	22	20	17	26	9	20
OSB	30	23	79	35	38	39	42	22	0	22	17	12	13	23
FFT(L2)	34	22	69	29	34	38	43	20	22	0	21	28	17	22
FFT(DTW)	32	24	66	28	31	30	31	17	17	21	0	36	27	26
ACF(L2)	38	33	54	27	32	34	42	26	12	28	36	0	5	13
ACF(DTW)	12	8	41	17	17	16	13	9	13	17	27	5	0	9
CDM	32	21	84	23	30	36	44	20	23	22	26	13	9	0
