.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	5708	5255	6059	6027	5975	5726	5734	5722	5762	5440	5877	5844	6237
L2	5708	0	5006	5746	5722	5685	5390	5418	5342	5479	5187	5610	5550	5881
LI	5255	5006	0	5425	5404	5327	5114	5138	5038	5213	5039	5191	5188	5567
LP	6059	5746	5425	0	6161	6136	5789	5854	5828	5914	5541	5992	5972	6404
ERP	6027	5722	5404	6161	0	6073	5734	5804	5792	5879	5458	6015	5853	6291
EDR	5975	5685	5327	6136	6073	0	5801	5820	5781	5937	5708	6025	5843	6028
LCSS	5726	5390	5114	5789	5734	5801	0	5512	5429	5605	5333	5694	5686	5945
DTW	5734	5418	5138	5854	5804	5820	5512	0	5461	5599	5336	5716	5651	6130
OSB	5722	5342	5038	5828	5792	5781	5429	5461	0	5592	5266	5673	5649	6021
FFT(L2)	5762	5479	5213	5914	5879	5937	5605	5599	5592	0	5309	5765	5696	6079
FFT(DTW)	5440	5187	5039	5541	5458	5708	5333	5336	5266	5309	0	5427	5482	5635
ACF(L2)	5877	5610	5191	5992	6015	6025	5694	5716	5673	5765	5427	0	5463	6060
ACF(DTW)	5844	5550	5188	5972	5853	5843	5686	5651	5649	5696	5482	5463	0	6085
CDM	6237	5881	5567	6404	6291	6028	5945	6130	6021	6079	5635	6060	6085	0
