.	50Words	Adiac	ARSim	Beef	CBF	Chlorine	CinECG	Coffee	Cricket_X	Cricket_Y	Cricket_Z	DiatomSize	ECG200	ECGFiveDays	FaceAll	FaceFour	FacesUCR	Fish	Gun_Point	Haptics	InlineSkate	ItalyPower	Lighting2	Lighting7	MALLAT	MedicalImages	MoteStrain	NonInv_ECG1	NonInv_ECG2	OliveOil	OSULeaf	SonyAIBO1	SonyAIBO2	StarLight	SwedishLeaf	Symbols	Synthetic	Trace	Two_Patterns	TwoLeadECG	uWGestureX	uWGestureY	uWGestureZ	Wafer	WordsSynonyms	Yoga
L1	1	0	33	1348	0	1	21	3419	0	0	0	837	0	0	1	0	0	0	0	328	0	46	0	4	154	1	39	1	1	5500	0	8	0	1	0	0	1	0	1	0	1	1	1	1	1	1
L2	0	0	32	1313	0	0	14	2985	0	0	0	809	0	0	0	0	0	0	0	351	0	37	0	4	160	0	20	0	0	5477	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LI	0	1	32	1312	0	0	20	2334	0	0	0	1000	1	0	0	0	0	0	0	360	0	47	0	7	119	0	22	0	0	5282	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LP	0	0	32	1322	0	1	21	3727	0	0	0	810	1	0	0	0	0	0	0	358	0	45	0	4	160	0	22	0	0	5521	0	11	1	0	0	2	0	0	0	0	0	1	0	0	0	0
ERP	1	0	32	1330	1	0	22	3605	0	0	0	868	1	0	1	1	0	0	0	315	0	47	0	9	143	1	39	1	1	5498	0	15	6	0	0	6	1	0	1	1	1	0	1	1	1	1
EDR	0	0	32	1151	0	0	19	3620	0	0	0	889	0	0	0	1	0	1	1	310	0	40	0	9	162	0	40	0	0	5555	0	23	7	1	0	7	0	0	0	0	0	0	0	0	0	0
LCSS	2	0	2	1551	0	2	20	3331	0	1	0	650	0	0	2	1	1	0	0	296	1	51	0	12	148	2	38	1	2	5123	1	12	6	2	1	9	2	0	2	0	2	1	2	2	2	2
DTW	0	0	0	1309	0	0	25	3174	1	0	1	889	0	0	0	0	0	0	0	293	0	52	1	1	181	0	35	0	0	5364	0	7	3	0	0	5	0	1	0	0	0	0	0	0	0	0
OSB	0	0	0	1317	0	0	25	2968	0	0	0	820	0	0	0	0	0	0	0	300	0	39	0	7	152	0	45	0	0	5592	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FFT(L2)	0	0	0	1320	0	0	39	2919	0	0	0	1024	0	0	0	0	0	0	1	325	0	53	0	7	141	0	26	0	0	5582	0	20	6	0	0	6	0	0	0	0	0	0	0	0	0	0
FFT(DTW)	0	0	0	1232	0	0	24	2702	0	0	0	848	1	1	0	0	0	0	0	294	0	43	0	14	136	0	27	0	0	5527	0	27	10	0	0	8	0	0	0	0	0	0	0	0	0	0
ACF(L2)	0	0	0	1501	0	0	29	3024	0	0	0	891	0	0	0	0	0	0	0	262	0	46	0	5	111	0	41	0	0	5587	0	25	9	0	0	8	0	0	0	0	0	0	0	0	0	0
ACF(DTW)	0	0	0	1496	0	0	20	3108	0	0	0	957	0	0	0	0	0	0	0	255	0	43	0	5	117	0	39	0	0	5400	0	29	5	0	0	10	0	0	0	0	0	0	0	0	0	0
CDM	0	0	0	1323	0	0	23	3872	0	0	0	820	0	0	0	1	0	0	1	270	0	45	0	6	169	0	30	0	0	5690	0	17	8	0	0	11	0	0	0	0	0	0	0	0	0	0
