Dataset	Train	Test	Length	Classes	L2	DTW	WDTW	LCSS	MSM	TWE	ERP	Ensembles	All_SOA_Best
50words	450	455	270	50	0.369	0.242	0.229	0.202	0.187	0.207	0.288	0.180	0.18021978
Adiac	390	391	176	37	0.389	0.391	0.394	0.749	0.373	0.366	0.391	0.353	0.352941176
ArrowHead	36	175	251	3	0.183	0.217	0.211	0.217	0.257	0.229	0.183	0.160	0.16
ARSim	2000	2000	500	2	0.486	0.443	0.407	0.270	0.311	0.491	0.433	0.103	0.103
Beef	30	30	470	5	0.467	0.467	0.300	0.233	0.533	0.400	0.333	0.367	0.233333333
BeetleFly	20	20	512	2	0.350	0.350	0.450	0.350	0.600	0.550	0.300	0.400	0.3
BirdChicken	20	20	512	2	0.400	0.350	0.400	0.250	0.350	0.550	0.400	0.350	0.25
Car	60	60	577	4	0.267	0.233	0.217	0.167	0.100	0.083	0.233	0.167	0.083333333
CBF	30	900	128	3	0.148	0.005	0.003	0.010	0.030	0.009	0.002	0.002	0.002222222
Chlorine	467	3840	166	3	0.350	0.350	0.373	0.441	0.382	0.379	0.362	0.360	0.35
CinECG	40	1380	1639	4	0.103	0.070	0.068	0.068	0.081	0.237	0.118	0.062	0.061594203
Coffee	28	28	286	2	0.250	0.233	0.000	0.000	0.107	0.000	0.000	0.000	0
Computers	250	250	720	2	0.272	0.124	0.124	0.244	0.220	0.160	0.116	0.116	0.116
Cricket_X	390	390	300	12	0.426	0.236	0.236	0.249	0.241	0.241	0.244	0.203	0.202564103
Cricket_Y	390	390	300	12	0.356	0.197	0.187	0.182	0.177	0.238	0.162	0.156	0.156410256
Cricket_Z	390	390	300	12	0.380	0.180	0.187	0.215	0.249	0.221	0.179	0.156	0.156410256
DiatomSize	16	306	345	4	0.065	0.065	0.036	0.101	0.046	0.049	0.075	0.059	0.035947712
DistalPhalanxOutlineAgeGroup	400	139	80	3	0.252	0.201	0.223	0.194	0.209	0.209	0.252	0.223	0.194244604
